epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,301.491,0.43041,0.50704,0.46101,0.81644,0,0.92101,0.97977,0.97797,0.87861,0.9178,0.97693,0.97786,0.78557,0.40221,0.51784,0.42752,0.7692,0,0.000951535,0.000951535,0.000951535
29,312.687,0.42887,0.51085,0.45479,0.81087,0,0.91885,0.96638,0.97821,0.88918,0.91885,0.96638,0.97806,0.74695,0.38576,0.53672,0.44325,0.77256,0,0.000933851,0.000933851,0.000933851
30,325.07,0.43721,0.50187,0.45752,0.81095,0,0.92965,0.98782,0.971,0.88502,0.92695,0.98494,0.97092,0.7711,0.37358,0.51061,0.40417,0.76876,0,0.000916168,0.000916168,0.000916168
31,336.629,0.42168,0.55758,0.43193,0.80707,0,0.93581,0.97048,0.97023,0.88069,0.93287,0.96777,0.96988,0.76928,0.37811,0.55412,0.40858,0.76939,0,0.000898484,0.000898484,0.000898484
32,349.033,0.41544,0.52452,0.43581,0.81226,0,0.93451,0.96543,0.97399,0.88363,0.93177,0.96255,0.97375,0.76245,0.39213,0.53948,0.39397,0.77004,0,0.0008808,0.0008808,0.0008808
33,362.115,0.41744,0.49131,0.41434,0.80508,0,0.93208,0.97689,0.97755,0.8905,0.92938,0.97401,0.97748,0.77431,0.37214,0.51948,0.3907,0.76789,0,0.000863116,0.000863116,0.000863116
34,374.321,0.41834,0.47772,0.42787,0.80996,0,0.92964,0.9673,0.97906,0.89087,0.92677,0.96443,0.97784,0.76537,0.38288,0.48868,0.43113,0.76907,0,0.000845432,0.000845432,0.000845432
35,387.007,0.42132,0.48739,0.41196,0.80374,0,0.9305,0.97326,0.97818,0.89862,0.92763,0.97044,0.9777,0.7538,0.35976,0.50601,0.38559,0.76529,0,0.000827748,0.000827748,0.000827748
36,399,0.40622,0.46905,0.41232,0.80565,0,0.93512,0.9793,0.98152,0.8894,0.93241,0.97643,0.98138,0.75543,0.36635,0.52934,0.37228,0.76748,0,0.000810064,0.000810064,0.000810064
37,412.005,0.40139,0.48444,0.39968,0.80186,0,0.93063,0.97324,0.98153,0.90034,0.92786,0.97036,0.98142,0.76092,0.37264,0.50552,0.36465,0.76805,0,0.00079238,0.00079238,0.00079238
38,424.21,0.40095,0.47301,0.39906,0.80991,0,0.9327,0.98241,0.97604,0.89021,0.93001,0.97954,0.97604,0.76129,0.39035,0.53476,0.35163,0.76979,0,0.000774697,0.000774697,0.000774697
39,436.645,0.41679,0.59762,0.41243,0.8067,0,0.94176,0.98551,0.97759,0.90198,0.94024,0.98273,0.97759,0.77101,0.3678,0.49075,0.35747,0.76734,0,0.000757013,0.000757013,0.000757013
40,449.889,0.41867,0.50899,0.39698,0.80749,0,0.93489,0.98366,0.97757,0.9046,0.93219,0.98079,0.97757,0.77215,0.35037,0.49679,0.3439,0.76571,0,0.000739329,0.000739329,0.000739329
41,462.685,0.39894,0.50606,0.39151,0.80573,0,0.94169,0.96437,0.97761,0.90545,0.94169,0.96437,0.97747,0.76464,0.35071,0.48948,0.35387,0.76452,0,0.000721645,0.000721645,0.000721645
42,475.127,0.38493,0.44747,0.36991,0.79963,0,0.94827,0.96638,0.97857,0.9089,0.94827,0.96638,0.97857,0.76465,0.33721,0.47706,0.34932,0.76316,0,0.000703961,0.000703961,0.000703961
43,486.62,0.38719,0.46179,0.36796,0.79857,0,0.93324,0.97646,0.97676,0.9094,0.93324,0.97646,0.97671,0.75186,0.3464,0.48554,0.33591,0.76509,0,0.000686277,0.000686277,0.000686277
44,498.287,0.39253,0.48651,0.37041,0.80103,0,0.91634,0.97585,0.97516,0.89952,0.91361,0.97297,0.97504,0.75608,0.35852,0.47637,0.35349,0.76529,0,0.000668593,0.000668593,0.000668593
45,510.798,0.38197,0.4613,0.36539,0.80065,0,0.95399,0.95739,0.97768,0.8983,0.95399,0.95739,0.9776,0.76948,0.35063,0.46958,0.33487,0.76557,0,0.000650909,0.000650909,0.000650909
46,522.47,0.38149,0.47423,0.35996,0.80014,0,0.92501,0.9904,0.97987,0.90671,0.92687,0.98731,0.97987,0.74904,0.34764,0.47189,0.31882,0.76454,0,0.000633226,0.000633226,0.000633226
47,534.562,0.3884,0.45977,0.36279,0.80487,0,0.94638,0.9578,0.97965,0.90788,0.94638,0.9578,0.9796,0.76808,0.35474,0.47658,0.33201,0.76627,0,0.000615542,0.000615542,0.000615542
48,546.543,0.36966,0.46028,0.36788,0.802,0,0.93105,0.97037,0.97238,0.90644,0.92837,0.96749,0.97223,0.76579,0.33508,0.49262,0.3418,0.76475,0,0.000597858,0.000597858,0.000597858
