epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1003.23,0.60592,0.61041,0.71354,0.98965,0,0.91952,0.79981,0.87049,0.78247,0.91952,0.79981,0.83528,0.64641,0.50773,0.56637,0.76695,1.00973,0,0.00104703,0.00104703,0.00104703
29,1043.53,0.59502,0.63609,0.6678,0.98726,0,0.85988,0.8624,0.90446,0.81449,0.92816,0.80055,0.83299,0.64135,0.49125,0.54483,0.62274,0.99472,0,0.00103288,0.00103288,0.00103288
30,1083.61,0.56673,0.6212,0.60987,0.95753,0,0.89574,0.83719,0.89804,0.80129,0.91187,0.80476,0.83249,0.63536,0.51435,0.53317,0.60169,0.99802,0,0.00101873,0.00101873,0.00101873
31,1121.4,0.59286,0.60399,0.62796,0.97619,0,0.90735,0.84694,0.90961,0.79928,0.92832,0.80027,0.8318,0.65053,0.53938,0.52573,0.64866,1.00293,0,0.00100459,0.00100459,0.00100459
32,1159.25,0.58462,0.63014,0.62585,0.97549,0,0.92345,0.79859,0.89408,0.78769,0.91951,0.79318,0.8229,0.63922,0.5063,0.56379,0.62151,0.98575,0,0.00099044,0.00099044,0.00099044
33,1199.87,0.57518,0.63422,0.61086,0.96219,0,0.8985,0.82645,0.90872,0.81178,0.91025,0.81248,0.83161,0.65044,0.48949,0.55582,0.57061,0.96884,0,0.000976293,0.000976293,0.000976293
34,1240.74,0.59343,0.67561,0.63286,0.96604,0,0.87957,0.86503,0.91143,0.794,0.92261,0.82049,0.82974,0.64018,0.50028,0.56808,0.59234,0.98168,0,0.000962146,0.000962146,0.000962146
35,1281.55,0.57114,0.63454,0.61664,0.95882,0,0.90552,0.82185,0.90243,0.8086,0.91107,0.81447,0.82457,0.63249,0.4739,0.53995,0.5889,0.96184,0,0.000947999,0.000947999,0.000947999
36,1321.16,0.59214,0.59528,0.65191,0.99791,0,0.89392,0.83247,0.89557,0.79212,0.91511,0.79757,0.82349,0.63509,0.5064,0.55582,0.61338,0.98912,0,0.000933851,0.000933851,0.000933851
37,1361.35,0.55046,0.59304,0.57978,0.95269,0,0.90659,0.83958,0.90324,0.81097,0.91991,0.78377,0.81997,0.63792,0.47077,0.54293,0.59057,0.9718,0,0.000919704,0.000919704,0.000919704
