frame,t_s,kind,tid,x_cm,y_cm
184,6.133,balon,-1,30.5,180.0
185,6.167,verde,3,70.5,79.5
185,6.167,oscuro,6,29.5,195.0
185,6.167,balon,-1,27.0,182.5
186,6.2,verde,3,71.0,78.5
186,6.2,oscuro,6,26.5,197.5
186,6.2,balon,-1,24.0,185.0
187,6.233,verde,3,71.0,77.5
187,6.233,oscuro,6,23.0,200.0
187,6.233,balon,-1,20.5,187.5
188,6.267,verde,3,71.5,77.5
188,6.267,oscuro,6,19.5,202.5
188,6.267,balon,-1,16.0,190.5
189,6.3,verde,3,71.5,77.0
189,6.3,balon,-1,8.5,186.5
190,6.333,verde,3,72.0,76.0
190,6.333,balon,-1,5.0,188.5
191,6.367,verde,3,72.5,75.0
191,6.367,balon,-1,1.5,190.5
192,6.4,verde,3,72.5,74.5
192,6.4,balon,-1,-1.5,192.5
193,6.433,verde,3,73.0,74.5
194,6.467,verde,3,73.0,73.5
194,6.467,verde,6,4.5,216.0
195,6.5,verde,3,73.5,73.0
196,6.533,verde,3,73.5,72.5
196,6.533,oscuro,6,2.5,218.5
197,6.567,verde,3,73.5,72.5
197,6.567,oscuro,6,2.5,218.5
198,6.6,verde,3,73.5,71.5
198,6.6,oscuro,6,1.0,220.5
199,6.633,verde,3,74.5,70.5
199,6.633,oscuro,6,0.0,225.5
200,6.667,verde,3,74.5,70.5
200,6.667,oscuro,6,0.0,225.5
201,6.7,verde,3,74.5,69.5
201,6.7,oscuro,6,-1.5,228.0
202,6.733,verde,3,75.0,68.5
203,6.767,verde,3,75.0,68.5
203,6.767,oscuro,7,-2.5,228.0
204,6.8,verde,3,75.5,68.0
204,6.8,oscuro,7,-2.5,230.0
204,6.8,balon,-1,-4.5,207.0
205,6.833,verde,3,76.0,66.5
205,6.833,oscuro,7,-2.0,231.5
206,6.867,verde,3,76.0,66.5
206,6.867,oscuro,7,-2.0,231.5
207,6.9,verde,3,76.0,66.0
207,6.9,oscuro,7,-1.5,233.0
208,6.933,verde,3,76.5,64.5
208,6.933,oscuro,7,-0.5,237.5
209,6.967,verde,3,76.5,64.5
209,6.967,oscuro,7,-0.5,237.5
210,7.0,verde,3,76.5,63.5
210,7.0,oscuro,7,0.0,239.5
211,7.033,verde,3,76.5,62.5
211,7.033,verde,7,2.0,239.5
212,7.067,verde,3,76.5,62.5
212,7.067,verde,7,2.0,239.5
213,7.1,verde,3,76.5,62.0
213,7.1,verde,7,2.5,240.0
214,7.133,verde,3,77.0,60.0
214,7.133,oscuro,7,3.0,239.5
215,7.167,verde,3,77.0,60.0
215,7.167,verde,8,3.0,129.0
215,7.167,oscuro,7,3.0,240.0
216,7.2,verde,3,77.0,60.0
216,7.2,verde,8,2.0,129.5
216,7.2,oscuro,7,3.0,240.5
217,7.233,verde,3,77.0,58.0
217,7.233,oscuro,7,2.5,242.5
217,7.233,verde,8,0.5,131.0
218,7.267,verde,3,77.0,58.0
218,7.267,oscuro,7,2.5,242.5
218,7.267,verde,8,0.5,131.0
219,7.3,verde,3,77.0,57.5
219,7.3,oscuro,7,1.5,243.5
219,7.3,verde,8,0.0,131.0
220,7.333,verde,3,77.5,56.0
220,7.333,oscuro,7,0.0,247.0
